topic,termNamesStr,domain,count
0,"[2020, school, new, time, students]",aninews.in,214
0,"[2020, school, new, time, students]",allafrica.com,803
0,"[2020, school, new, time, students]",680news.com,367
0,"[2020, school, new, time, students]",scoop.co.nz,321
0,"[2020, school, new, time, students]",eveningexpress.co.uk,370
0,"[2020, school, new, time, students]",dailymail.co.uk,3180
0,"[2020, school, new, time, students]",reliefweb.int,64
0,"[2020, school, new, time, students]",thehill.com,570
0,"[2020, school, new, time, students]",siouxcityjournal.com,229
0,"[2020, school, new, time, students]",ksl.com,406
0,"[2020, school, new, time, students]",thehour.com,624
0,"[2020, school, new, time, students]",thejakartapost.com,266
0,"[2020, school, new, time, students]",onlinenigeria.com,275
0,"[2020, school, new, time, students]",theglobeandmail.com,298
0,"[2020, school, new, time, students]",stamfordadvocate.com,664
0,"[2020, school, new, time, students]",yahoo.com,2551
0,"[2020, school, new, time, students]",ctvnews.ca,652
0,"[2020, school, new, time, students]",newsnow.co.uk,806
0,"[2020, school, new, time, students]",aljazeera.com,204
0,"[2020, school, new, time, students]",chron.com,1255
0,"[2020, school, new, time, students]",bbc.com,245
0,"[2020, school, new, time, students]",financialexpress.com,169
0,"[2020, school, new, time, students]",thestar.com,358
0,"[2020, school, new, time, students]",tucson.com,389
0,"[2020, school, new, time, students]",bbc.co.uk,466
0,"[2020, school, new, time, students]",cnbc.com,192
0,"[2020, school, new, time, students]",timesnownews.com,266
0,"[2020, school, new, time, students]",orissapost.com,447
0,"[2020, school, new, time, students]",reuters.com,1420
0,"[2020, school, new, time, students]",iheart.com,5781
0,"[2020, school, new, time, students]",princegeorgecitizen.com,471
0,"[2020, school, new, time, students]",indiatimes.com,1097
0,"[2020, school, new, time, students]",thetelegraph.com,1275
0,"[2020, school, new, time, students]",foxnews.com,749
0,"[2020, school, new, time, students]",nhregister.com,427
0,"[2020, school, new, time, students]",channelnewsasia.com,214
0,"[2020, school, new, time, students]",firstpost.com,460
0,"[2020, school, new, time, students]",abc.net.au,485
0,"[2020, school, new, time, students]",prokerala.com,736
0,"[2020, school, new, time, students]",express.co.uk,528
0,"[2020, school, new, time, students]",usatoday.com,823
0,"[2020, school, new, time, students]",prnewswire.com,333
0,"[2020, school, new, time, students]",news12.com,325
0,"[2020, school, new, time, students]",nzherald.co.nz,655
0,"[2020, school, new, time, students]",cbc.ca,679
0,"[2020, school, new, time, students]",lmtonline.com,853
0,"[2020, school, new, time, students]",ibtimes.com,379
0,"[2020, school, new, time, students]",ctpost.com,726
0,"[2020, school, new, time, students]",ndtv.com,283
0,"[2020, school, new, time, students]",stuff.co.nz,715
0,"[2020, school, new, time, students]",newindianexpress.com,169
0,"[2020, school, new, time, students]",business-standard.com,831
